study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
features,4,4,GPR,1000,4,3,1,7,,0.6238110440317541,0.835461548063904,ok
features,4,4,FIGS,1000,4,3,1,7,,0.047521808883175254,0.047521808883175254,ok
features,4,4,HSTree,1000,4,3,1,7,,0.0024022720754146576,0.0024022720754146576,ok
features,4,4,GreedyRuleList,1000,4,3,1,7,,0.002558560110628605,0.002558560110628605,ok
features,8,0,RFR,1000,8,6,2,14,1000,0.011282379040494561,0.011282379040494561,ok
features,8,0,GPR,1000,8,6,2,14,,0.4003939761314541,0.6115427259355783,ok
features,8,0,FIGS,1000,8,6,2,14,,0.08999564591795206,0.08999564591795206,ok
features,8,0,HSTree,1000,8,6,2,14,,0.0038257359992712736,0.0038257359992712736,ok
features,8,0,GreedyRuleList,1000,8,6,2,14,,0.003594648092985153,0.003594648092985153,ok
features,8,1,RFR,1000,8,6,2,14,1000,0.011362968012690544,0.011362968012690544,ok
features,8,1,GPR,1000,8,6,2,14,,0.4024669020436704,0.6141956360079348,ok
features,8,1,FIGS,1000,8,6,2,14,,0.09622281393967569,0.09622281393967569,ok
features,8,1,HSTree,1000,8,6,2,14,,0.004007352981716394,0.004007352981716394,ok
features,8,1,GreedyRuleList,1000,8,6,2,14,,0.003502228995785117,0.003502228995785117,ok
features,8,2,RFR,1000,8,6,2,14,1000,0.011290169088169932,0.011290169088169932,ok
features,8,2,GPR,1000,8,6,2,14,,0.3909112149849534,0.6032862218562514,ok
features,8,2,FIGS,1000,8,6,2,14,,0.09009829512797296,0.09009829512797296,ok
features,8,2,HSTree,1000,8,6,2,14,,0.0037303268909454346,0.0037303268909454346,ok
features,8,2,GreedyRuleList,1000,8,6,2,14,,0.0036906579043716192,0.0036906579043716192,ok
features,8,3,RFR,1000,8,6,2,14,1000,0.011303459061309695,0.011303459061309695,ok
features,8,3,GPR,1000,8,6,2,14,,0.39005554490722716,0.6025975800585002,ok
features,8,3,FIGS,1000,8,6,2,14,,0.0811103789601475,0.0811103789601475,ok
features,8,3,HSTree,1000,8,6,2,14,,0.0037825561594218016,0.0037825561594218016,ok
features,8,3,GreedyRuleList,1000,8,6,2,14,,0.003698156913742423,0.003698156913742423,ok
features,8,4,RFR,1000,8,6,2,14,1000,0.011349508073180914,0.011349508073180914,ok
