study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,16384,0,GPR,16384,70,60,10,100,,3.4074655000000007,4.09916549999997,ok
samples,16384,0,FIGS,16384,70,60,10,100,,9.928284500000018,9.928284500000018,ok
samples,16384,0,RuleFit,16384,70,60,10,100,,21.58713869999997,21.58713869999997,ok
samples,16384,0,HSTree,16384,70,60,10,100,,0.6108741000000464,0.6108741000000464,ok
samples,16384,0,GreedyRuleList,16384,70,60,10,100,,0.27443219999997837,0.27443219999997837,ok
samples,16384,1,RFR,16384,70,60,10,100,10000,5.6341419000000315,5.6341419000000315,ok
samples,16384,1,GPR,16384,70,60,10,100,,2.243300299999987,2.9443006000000196,ok
samples,16384,1,FIGS,16384,70,60,10,100,,10.343178100000046,10.343178100000046,ok
samples,16384,1,RuleFit,16384,70,60,10,100,,21.728319499999998,21.728319499999998,ok
samples,16384,1,HSTree,16384,70,60,10,100,,0.6245070999999598,0.6245070999999598,ok
samples,16384,1,GreedyRuleList,16384,70,60,10,100,,0.2870557999999619,0.2870557999999619,ok
samples,16384,2,RFR,16384,70,60,10,100,10000,5.585878699999967,5.585878699999967,ok
samples,16384,2,GPR,16384,70,60,10,100,,2.776852900000108,3.6210538999999926,ok
samples,16384,2,FIGS,16384,70,60,10,100,,10.139378699999952,10.139378699999952,ok
samples,16384,2,RuleFit,16384,70,60,10,100,,19.544724199999905,19.544724199999905,ok
samples,16384,2,HSTree,16384,70,60,10,100,,0.6154834000000164,0.6154834000000164,ok
samples,16384,2,GreedyRuleList,16384,70,60,10,100,,0.28445130000000063,0.28445130000000063,ok
samples,16384,3,RFR,16384,70,60,10,100,10000,5.969335999999998,5.969335999999998,ok
samples,16384,3,GPR,16384,70,60,10,100,,2.5971104000000196,3.3312129999999343,ok
samples,16384,3,FIGS,16384,70,60,10,100,,10.175646099999994,10.175646099999994,ok
samples,16384,3,RuleFit,16384,70,60,10,100,,21.850261000000046,21.850261000000046,ok
samples,16384,3,HSTree,16384,70,60,10,100,,0.6381046000000197,0.6381046000000197,ok
samples,16384,3,GreedyRuleList,16384,70,60,10,100,,0.3198158999999805,0.3198158999999805,ok
samples,16384,4,RFR,16384,70,60,10,100,10000,5.776370999999926,5.776370999999926,ok
samples,16384,4,GPR,16384,70,60,10,100,,3.6951996000000236,4.488848500000017,ok
samples,16384,4,FIGS,16384,70,60,10,100,,10.559075599999915,10.559075599999915,ok
samples,16384,4,RuleFit,16384,70,60,10,100,,20.4218214,20.4218214,ok
samples,16384,4,HSTree,16384,70,60,10,100,,0.6200115000000324,0.6200115000000324,ok
samples,16384,4,GreedyRuleList,16384,70,60,10,100,,0.28271830000005593,0.28271830000005593,ok
samples,32768,0,RFR,32768,70,60,10,100,10000,12.324933299999998,12.324933299999998,ok
samples,32768,0,GPR,32768,70,60,10,100,,5.977755799999954,6.756121400000097,ok
samples,32768,0,FIGS,32768,70,60,10,100,,20.926427399999966,20.926427399999966,ok
samples,32768,0,RuleFit,32768,70,60,10,100,,33.43092130000002,33.43092130000002,ok
samples,32768,0,HSTree,32768,70,60,10,100,,1.3127266999999847,1.3127266999999847,ok
samples,32768,0,GreedyRuleList,32768,70,60,10,100,,0.6077470000000176,0.6077470000000176,ok
samples,32768,1,RFR,32768,70,60,10,100,10000,12.229041199999983,12.229041199999983,ok
samples,32768,1,GPR,32768,70,60,10,100,,5.94516509999994,6.834981200000016,ok
samples,32768,1,FIGS,32768,70,60,10,100,,20.909731100000045,20.909731100000045,ok
samples,32768,1,RuleFit,32768,70,60,10,100,,31.259578000000033,31.259578000000033,ok
samples,32768,1,HSTree,32768,70,60,10,100,,1.30956249999997,1.30956249999997,ok
samples,32768,1,GreedyRuleList,32768,70,60,10,100,,0.6061269000000493,0.6061269000000493,ok
samples,32768,2,RFR,32768,70,60,10,100,10000,12.589476699999977,12.589476699999977,ok
samples,32768,2,GPR,32768,70,60,10,100,,5.8927638000000115,6.72259889999998,ok
samples,32768,2,FIGS,32768,70,60,10,100,,22.84390480000002,22.84390480000002,ok
samples,32768,2,RuleFit,32768,70,60,10,100,,35.416026899999906,35.416026899999906,ok
samples,32768,2,HSTree,32768,70,60,10,100,,1.295084599999882,1.295084599999882,ok
samples,32768,2,GreedyRuleList,32768,70,60,10,100,,0.6063754000001609,0.6063754000001609,ok
